,Object,Measurand,sample size,mean,unbiased stdev,stdev 95% CI,CV*
0,NTS_def,SARI,8,30.234766690811483,0.5629126088558145,"[0.23, 0.89]",1.9199871254802077
0,NTS_def,BLEU,13,86.07202143044795,1.6387486931196307,"[0.94, 2.34]",1.940541262196247
0,NTS-w2v_def,SARI,7,30.25542378634242,0.9394160008308372,"[0.33, 1.55]",3.215841824460868
0,NTS-w2v_def,BLEU,12,88.14711531775015,2.5391434665391555,"[1.40, 3.68]",2.940586631127976
