,Object,Measurand,sample size,mean,unbiased stdev,stdev 95% CI,CV*
0,NTS-w2v_def,BLEU,12,87.70703866270465,2.446311750153193,"[1.35, 3.54]",2.847293234794042
0,NTS-w2v_def,SARI,7,30.221306977717024,0.9584562109504124,"[0.34, 1.58]",3.2847248818353942
0,NTS_def,BLEU,13,86.07202143044795,1.6387486931196307,"[0.94, 2.34]",1.940541262196247
0,NTS_def,SARI,8,30.234766690811483,0.5629126088558145,"[0.23, 0.89]",1.9199871254802077
