[05/26/22 03:04:55 INFO] Using GPU(s): 1
[05/26/22 03:04:55 WARNING] The caching CUDA memory allocator is enabled. This allocator improves performance at the cost of a higher GPU memory usage. To optimize for memory, consider disabling it by setting the environment variable: THC_CACHING_ALLOCATOR=0
[05/26/22 03:04:55 INFO] Training Sequence to Sequence with Attention model
[05/26/22 03:04:55 INFO] Loading data from '/workspace/data/NTS-train.t7'...
[05/26/22 03:05:06 INFO]  * vocabulary size: source = 50004; target = 50004
[05/26/22 03:05:06 INFO]  * additional features: source = 0; target = 0
[05/26/22 03:05:06 INFO]  * maximum sequence length: source = 80; target = 81
[05/26/22 03:05:06 INFO]  * number of training sentences: 282954
[05/26/22 03:05:06 INFO]  * 4463 batches, max size: 64 (even), avg size: 63.399955, capacity: 100%
[05/26/22 03:05:06 INFO] Building model...
[05/26/22 03:05:06 INFO]  * Encoder:
[05/26/22 03:05:08 INFO]    - with word embeddings size: 500
[05/26/22 03:05:08 INFO]    - Simple LSTM Encoder: 2 layers, rnn_size 500, dropout 0.3
[05/26/22 03:05:08 INFO]  * Decoder:
[05/26/22 03:05:09 INFO]    - with word embeddings size: 500
[05/26/22 03:05:09 INFO]    - Global Attention: general
[05/26/22 03:05:10 INFO] Initializing parameters...
[05/26/22 03:05:12 INFO] Network size: 50004x500
[05/26/22 03:05:12 INFO] Pre-trained embeddings size: 50004x500
[05/26/22 03:05:12 INFO] Network size: 50004x500
[05/26/22 03:05:12 INFO] Pre-trained embeddings size: 50004x500
[05/26/22 03:05:12 INFO]  * number of parameters: 84822004
[05/26/22 03:05:12 INFO] Preparing memory optimization...
[05/26/22 03:05:13 INFO]  * sharing 69% of output/gradInput tensors memory between clones
[05/26/22 03:05:13 INFO] Start training...
[05/26/22 03:05:13 INFO] 
[05/26/22 03:10:15 INFO] Epoch 1 ; Iteration 1550/4463 ; Learning rate 1.0000 ; Source tokens/s 8744 ; Perplexity 296.06
[05/26/22 03:10:24 INFO] Epoch 1 ; Iteration 1600/4463 ; Learning rate 1.0000 ; Source tokens/s 9782 ; Perplexity 303.20
[05/26/22 03:10:34 INFO] Epoch 1 ; Iteration 1650/4463 ; Learning rate 1.0000 ; Source tokens/s 8504 ; Perplexity 280.51
[05/26/22 03:10:43 INFO] Epoch 1 ; Iteration 1700/4463 ; Learning rate 1.0000 ; Source tokens/s 9695 ; Perplexity 276.42
[05/26/22 03:10:53 INFO] Epoch 1 ; Iteration 1750/4463 ; Learning rate 1.0000 ; Source tokens/s 8565 ; Perplexity 268.37
[05/26/22 03:11:02 INFO] Epoch 1 ; Iteration 1800/4463 ; Learning rate 1.0000 ; Source tokens/s 8198 ; Perplexity 264.91
[05/26/22 03:11:11 INFO] Epoch 1 ; Iteration 1850/4463 ; Learning rate 1.0000 ; Source tokens/s 9183 ; Perplexity 255.43
[05/26/22 03:11:21 INFO] Epoch 1 ; Iteration 1900/4463 ; Learning rate 1.0000 ; Source tokens/s 9320 ; Perplexity 275.39
[05/26/22 03:11:29 INFO] Epoch 1 ; Iteration 1950/4463 ; Learning rate 1.0000 ; Source tokens/s 9030 ; Perplexity 249.18
[05/26/22 03:11:38 INFO] Epoch 1 ; Iteration 2000/4463 ; Learning rate 1.0000 ; Source tokens/s 9002 ; Perplexity 250.53
[05/26/22 03:11:48 INFO] Epoch 1 ; Iteration 2050/4463 ; Learning rate 1.0000 ; Source tokens/s 8664 ; Perplexity 245.19
[05/26/22 03:11:57 INFO] Epoch 1 ; Iteration 2100/4463 ; Learning rate 1.0000 ; Source tokens/s 9353 ; Perplexity 240.28
[05/26/22 03:12:06 INFO] Epoch 1 ; Iteration 2150/4463 ; Learning rate 1.0000 ; Source tokens/s 8424 ; Perplexity 237.47
[05/26/22 03:12:16 INFO] Epoch 1 ; Iteration 2200/4463 ; Learning rate 1.0000 ; Source tokens/s 8601 ; Perplexity 236.51
[05/26/22 03:12:25 INFO] Epoch 1 ; Iteration 2250/4463 ; Learning rate 1.0000 ; Source tokens/s 9417 ; Perplexity 236.18
[05/26/22 03:12:35 INFO] Epoch 1 ; Iteration 2300/4463 ; Learning rate 1.0000 ; Source tokens/s 8784 ; Perplexity 230.73
[05/26/22 03:12:44 INFO] Epoch 1 ; Iteration 2350/4463 ; Learning rate 1.0000 ; Source tokens/s 8152 ; Perplexity 215.66
[05/26/22 03:12:53 INFO] Epoch 1 ; Iteration 2400/4463 ; Learning rate 1.0000 ; Source tokens/s 8697 ; Perplexity 216.52
[05/26/22 03:13:02 INFO] Epoch 1 ; Iteration 2450/4463 ; Learning rate 1.0000 ; Source tokens/s 9321 ; Perplexity 212.88
[05/26/22 03:13:11 INFO] Epoch 1 ; Iteration 2500/4463 ; Learning rate 1.0000 ; Source tokens/s 8573 ; Perplexity 206.15
[05/26/22 03:13:20 INFO] Epoch 1 ; Iteration 2550/4463 ; Learning rate 1.0000 ; Source tokens/s 9072 ; Perplexity 205.64
[05/26/22 03:13:29 INFO] Epoch 1 ; Iteration 2600/4463 ; Learning rate 1.0000 ; Source tokens/s 8555 ; Perplexity 205.40
[05/26/22 03:13:38 INFO] Epoch 1 ; Iteration 2650/4463 ; Learning rate 1.0000 ; Source tokens/s 8941 ; Perplexity 199.64
[05/26/22 03:13:48 INFO] Epoch 1 ; Iteration 2700/4463 ; Learning rate 1.0000 ; Source tokens/s 8817 ; Perplexity 200.83
[05/26/22 03:13:57 INFO] Epoch 1 ; Iteration 2750/4463 ; Learning rate 1.0000 ; Source tokens/s 9346 ; Perplexity 195.05
[05/26/22 03:14:06 INFO] Epoch 1 ; Iteration 2800/4463 ; Learning rate 1.0000 ; Source tokens/s 9165 ; Perplexity 186.93
[05/26/22 03:14:15 INFO] Epoch 1 ; Iteration 2850/4463 ; Learning rate 1.0000 ; Source tokens/s 8652 ; Perplexity 187.32
[05/26/22 03:14:25 INFO] Epoch 1 ; Iteration 2900/4463 ; Learning rate 1.0000 ; Source tokens/s 9079 ; Perplexity 177.77
[05/26/22 03:14:34 INFO] Epoch 1 ; Iteration 2950/4463 ; Learning rate 1.0000 ; Source tokens/s 8444 ; Perplexity 171.24
[05/26/22 03:14:44 INFO] Epoch 1 ; Iteration 3000/4463 ; Learning rate 1.0000 ; Source tokens/s 8611 ; Perplexity 164.33
[05/26/22 03:14:53 INFO] Epoch 1 ; Iteration 3050/4463 ; Learning rate 1.0000 ; Source tokens/s 9290 ; Perplexity 165.67
[05/26/22 03:15:02 INFO] Epoch 1 ; Iteration 3100/4463 ; Learning rate 1.0000 ; Source tokens/s 8537 ; Perplexity 157.64
[05/26/22 03:15:12 INFO] Epoch 1 ; Iteration 3150/4463 ; Learning rate 1.0000 ; Source tokens/s 8061 ; Perplexity 148.11
[05/26/22 03:15:21 INFO] Epoch 1 ; Iteration 3200/4463 ; Learning rate 1.0000 ; Source tokens/s 8731 ; Perplexity 143.93
[05/26/22 03:15:30 INFO] Epoch 1 ; Iteration 3250/4463 ; Learning rate 1.0000 ; Source tokens/s 8375 ; Perplexity 140.65
